timestamp [ms],camera transform 0,camera transform 1,camera transform 2,camera transform 3,camera transform 4,camera transform 5,camera transform 6,camera transform 7,camera transform 8,camera transform 9,camera transform 10,camera transform 11,camera transform 12,camera transform 13,camera transform 14,camera transform 15,face transform 0,face transform 1,face transform 2,face transform 3,face transform 4,face transform 5,face transform 6,face transform 7,face transform 8,face transform 9,face transform 10,face transform 11,face transform 12,face transform 13,face transform 14,face transform 15,left eye transform 0,left eye transform 1,left eye transform 2,left eye transform 3,left eye transform 4,left eye transform 5,left eye transform 6,left eye transform 7,left eye transform 8,left eye transform 9,left eye transform 10,left eye transform 11,left eye transform 12,left eye transform 13,left eye transform 14,left eye transform 15,right eye transform 0,right eye transform 1,right eye transform 2,right eye transform 3,right eye transform 4,right eye transform 5,right eye transform 6,right eye transform 7,right eye transform 8,right eye transform 9,right eye transform 10,right eye transform 11,right eye transform 12,right eye transform 13,right eye transform 14,right eye transform 15,camera euler y,camera euler p,camera euler r
1668579986472.0,-0.015872283,-0.8478877,-0.5299383,0.0,0.9998737,-0.013877522,-0.0077437307,0.0,-0.000788415,-0.52999425,0.84800094,0.0,0.0,0.0,0.0,1.0,0.88270056,-0.003250827,-0.4699248,0.0,-0.016858868,0.9991134,-0.03857907,0.0,0.46963352,0.041976135,0.8818631,0.0,0.05916189,0.25070673,-0.58594245,1.0,0.9226664,-0.063531935,0.38032943,0.0,0.0,0.98633343,0.16476156,0.0,-0.38559926,-0.15201995,0.9100567,0.0,0.03422755,0.031666458,0.031331982,1.0,0.94558024,-0.054923765,0.32072002,0.0,0.0,0.9856513,0.16879421,0.0,-0.3253889,-0.15960847,0.93201244,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55859375,-0.0009297334,-1.587162
1668579986488.0,-0.01587275,-0.84789395,-0.52992827,0.0,0.9998737,-0.013889747,-0.007725033,0.0,-0.00081055955,-0.52998394,0.8480074,0.0,0.0,0.0,0.0,1.0,0.8895061,-0.005351179,-0.45689183,0.0,-0.013792433,0.9991613,-0.038554184,0.0,0.45671496,0.04059597,0.8886864,0.0,0.058216035,0.25060636,-0.58546776,1.0,0.91138023,-0.07448923,0.40476835,0.0,0.0,0.9834849,0.18099003,0.0,-0.4115654,-0.16495073,0.8963287,0.0,0.03422755,0.031666458,0.031331982,1.0,0.935367,-0.06565941,0.3475304,0.0,0.0,0.9826165,0.18564712,0.0,-0.35367858,-0.17364818,0.919107,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5585816,-0.00095583993,-1.5871763
1668579986505.0,-0.015857518,-0.8479067,-0.52990854,0.0,0.99987394,-0.013880757,-0.0077106445,0.0,-0.00081762567,-0.529964,0.8480199,0.0,0.0,0.0,0.0,1.0,0.8973821,-0.0082104085,-0.44117785,0.0,-0.010250072,0.99916947,-0.039443906,0.0,0.44113514,0.039918307,0.89655256,0.0,0.057242185,0.25047052,-0.58500683,1.0,0.9131638,-0.07279734,0.4010393,0.0,0.0,0.98392123,0.17860307,0.0,-0.4075929,-0.16309385,0.89848125,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9369991,-0.06398581,0.34342182,0.0,0.0,0.98308194,0.18316627,0.0,-0.34933183,-0.17162663,0.92114687,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55855817,-0.0009641583,-1.5871655
1668579986522.0,-0.015861088,-0.8479096,-0.5299036,0.0,0.9998738,-0.013888563,-0.0077048796,0.0,-0.0008265579,-0.52995896,0.84802294,0.0,0.0,0.0,0.0,1.0,0.9058667,-0.009894196,-0.42344716,0.0,-0.006645046,0.99927217,-0.037564352,0.0,0.42351055,0.03684217,0.90514165,0.0,0.056512285,0.25057185,-0.58481157,1.0,0.9180558,-0.06920287,0.39036468,0.0,0.0,0.9846473,0.1745558,0.0,-0.3964513,-0.16025196,0.9039611,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9414462,-0.06032477,0.33172277,0.0,0.0,0.9838639,0.17891857,0.0,-0.33716327,-0.1684422,0.9262549,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55855215,-0.00097468786,-1.5871747
1668579986539.0,-0.015897084,-0.8479314,-0.5298677,0.0,0.9998733,-0.013925506,-0.00771362,0.0,-0.0008380548,-0.5299232,0.84804535,0.0,0.0,0.0,0.0,1.0,0.9126552,-0.012977253,-0.40852407,0.0,-0.0022244332,0.9993234,-0.0367142,0.0,0.408724,0.03441608,0.91200894,0.0,0.05573047,0.25079268,-0.58497703,1.0,0.923244,-0.06536678,0.37861294,0.0,0.0,0.9854214,0.17013109,0.0,-0.38421422,-0.1570725,0.90978444,0.0,0.03422755,0.031666458,0.031331982,1.0,0.94612336,-0.056432012,0.31885108,0.0,0.0,0.9846967,0.17427701,0.0,-0.3238064,-0.16488755,0.93164456,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55851,-0.000988219,-1.5872178
1668579986555.0,-0.015894448,-0.84794426,-0.52984726,0.0,0.99987334,-0.013908402,-0.0077359793,0.0,-0.0008096506,-0.5299031,0.8480579,0.0,0.0,0.0,0.0,1.0,0.91880155,-0.01681185,-0.39436135,0.0,0.0019722816,0.9992756,-0.038004573,0.0,0.39471456,0.034140952,0.9181692,0.0,0.054798428,0.2508542,-0.584871,1.0,0.92773753,-0.064109564,0.3676861,0.0,0.0,0.9851374,0.17176805,0.0,-0.37323332,-0.15935567,0.91394895,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9501404,-0.054832675,0.30696347,0.0,0.0,0.98441774,0.17584586,0.0,-0.31182238,-0.16707826,0.9353351,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584863,-0.0009547111,-1.5871973
1668579986572.0,-0.015895173,-0.84793776,-0.5298575,0.0,0.99987334,-0.013910454,-0.0077340826,0.0,-0.00081253925,-0.52991337,0.8480515,0.0,0.0,0.0,0.0,1.0,0.92647815,-0.021081932,-0.37575737,0.0,0.0071666013,0.999237,-0.03839235,0.0,0.37628,0.032876607,0.9259225,0.0,0.053633764,0.250384,-0.58372575,1.0,0.93703526,-0.060818695,0.3438982,0.0,0.0,0.9847194,0.17414847,0.0,-0.34923473,-0.16318326,0.9227168,0.0,0.03422755,0.031666458,0.031331982,1.0,0.958265,-0.050894815,0.28131458,0.0,0.0,0.9840255,0.17802772,0.0,-0.2858814,-0.17059773,0.94295716,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584984,-0.0009581246,-1.5871999
1668579986589.0,-0.015902516,-0.84793866,-0.52985585,0.0,0.9998732,-0.013920902,-0.007731214,0.0,-0.0008204779,-0.5299117,0.8480525,0.0,0.0,0.0,0.0,1.0,0.93403596,-0.030234074,-0.35589683,0.0,0.016584905,0.9990075,-0.04134112,0.0,0.3567935,0.032711577,0.93361044,0.0,0.052235715,0.24904464,-0.58108175,1.0,0.94746524,-0.055439774,0.3150176,0.0,0.0,0.98486453,0.17332576,0.0,-0.31985882,-0.16422014,0.9331249,0.0,0.03422755,0.031666458,0.031331982,1.0,0.96704644,-0.0450272,0.25058675,0.0,0.0,0.98423696,0.17685466,0.0,-0.25460002,-0.17102666,0.95180285,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.5584964,-0.0009674845,-1.5872122
1668579986605.0,-0.015900385,-0.8479401,-0.5298537,0.0,0.9998733,-0.013917848,-0.00773208,0.0,-0.0008180847,-0.5299095,0.8480539,0.0,0.0,0.0,0.0,1.0,0.94010556,-0.036063753,-0.3389708,0.0,0.022726774,0.99880666,-0.043234184,0.0,0.34012544,0.032941017,0.93980306,0.0,0.050991755,0.2479853,-0.5790255,1.0,0.9542342,-0.059513554,0.29307896,0.0,0.0,0.9799991,0.19900176,0.0,-0.29906043,-0.18989427,0.93514866,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9726732,-0.04707405,0.22735639,0.0,0.0,0.9792307,0.20274933,0.0,-0.23217857,-0.19720884,0.95247144,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55849385,-0.00096466095,-1.5872085
1668579986622.0,-0.015911138,-0.8479294,-0.5298705,0.0,0.9998731,-0.013922161,-0.0077454997,0.0,-0.00080930605,-0.52992654,0.8480433,0.0,0.0,0.0,0.0,1.0,0.9453172,-0.04059561,-0.3236164,0.0,0.027496537,0.99861103,-0.044949178,0.0,0.32499152,0.03359287,0.94512033,0.0,0.05021522,0.24772191,-0.57846934,1.0,0.9530445,-0.05817095,0.2971908,0.0,0.0,0.9813771,0.19209087,0.0,-0.30283037,-0.18307114,0.93529606,0.0,0.03422755,0.031666458,0.031331982,1.0,0.9716335,-0.046294134,0.23191631,0.0,0.0,0.9806531,0.19575375,0.0,-0.23649168,-0.19020091,0.9528354,0.0,-0.034279395,0.03171472,0.031382434,1.0,0.55851394,-0.0009543213,-1.5872139
