timestamp [ms],face transform 0,face transform 1,face transform 2,face transform 3,face transform 4,face transform 5,face transform 6,face transform 7,face transform 8,face transform 9,face transform 10,face transform 11,face transform 12,face transform 13,face transform 14,face transform 15,left eye transform 0,left eye transform 1,left eye transform 2,left eye transform 3,left eye transform 4,left eye transform 5,left eye transform 6,left eye transform 7,left eye transform 8,left eye transform 9,left eye transform 10,left eye transform 11,left eye transform 12,left eye transform 13,left eye transform 14,left eye transform 15,left eye position x,left eye position y,left eye position z,right eye transform 0,right eye transform 1,right eye transform 2,right eye transform 3,right eye transform 4,right eye transform 5,right eye transform 6,right eye transform 7,right eye transform 8,right eye transform 9,right eye transform 10,right eye transform 11,right eye transform 12,right eye transform 13,right eye transform 14,right eye transform 15,right eye position x,right eye position y,right eye position z
1668497303204,0.92884487,0.004137607,-0.37044582,0.0,0.059812553,0.98514426,0.16097538,0.0,0.3656086,-0.1716786,0.91479874,0.0,0.03365442,0.26949763,-0.5478961,1.0,0.99052525,-0.034064297,0.13303894,0.0,0.0,0.96874833,0.24804565,0.0,-0.13733076,-0.24569549,0.9595697,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048795406,0.27789798,-0.5407148,0.99808383,-0.0154629415,0.05991323,0.0,0.0,0.9682716,0.24990019,0.0,-0.06187647,-0.24942134,0.96641624,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027537916,0.27782053,-0.53221166
1668497303220,0.9281975,0.0049559083,-0.3720547,0.0,0.059207164,0.98520416,0.16083254,0.0,0.36734694,-0.17131278,0.91417074,0.0,0.03358007,0.2695575,-0.5480611,1.0,0.9911466,-0.033022035,0.12859994,0.0,0.0,0.9685774,0.24871238,0.0,-0.13277198,-0.24651043,0.9600022,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048725925,0.27797174,-0.54090637,0.9983615,-0.014333335,0.055397123,0.0,0.0,0.9681194,0.25048918,0.0,-0.057221375,-0.25007877,0.9665331,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027483279,0.27787557,-0.5323664
1668497303237,0.9276735,0.005502567,-0.373352,0.0,0.058954448,0.98519135,0.16100511,0.0,0.368709,-0.1713709,0.9136114,0.0,0.03353562,0.26963273,-0.54818624,1.0,0.99141854,-0.032249738,0.12668552,0.0,0.0,0.96909255,0.24669735,0.0,-0.13072592,-0.24458033,0.9607763,0.0,0.03431431,0.031011613,0.031988837,1.0,0.04868739,0.27805248,-0.54105055,0.9984791,-0.013695921,0.053402536,0.0,0.0,0.96865094,0.24842578,0.0,-0.055130836,-0.24804796,0.96717775,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027456764,0.27794376,-0.5324809
1668497303254,0.92755044,0.0057930914,-0.37365317,0.0,0.05862223,0.98524487,0.16079801,0.0,0.3690714,-0.17105266,0.9135247,0.0,0.033478737,0.2696127,-0.54816747,1.0,0.99080545,-0.033130478,0.13117538,0.0,0.0,0.96955425,0.24487671,0.0,-0.13529453,-0.24262518,0.96063966,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048629533,0.27803972,-0.5410383,0.9982142,-0.014735491,0.057890166,0.0,0.0,0.9690979,0.24667633,0.0,-0.059736136,-0.2462358,0.9673673,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027401723,0.27792436,-0.5324617
1668497303270,0.9278474,0.005783674,-0.37291542,0.0,0.05849725,0.9852476,0.16082701,0.0,0.36834422,-0.17103738,0.913821,0.0,0.033486098,0.26968238,-0.54826057,1.0,0.99224764,-0.030419141,0.120496064,0.0,0.0,0.9695812,0.24477004,0.0,-0.12427641,-0.24287249,0.9620646,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048631243,0.2781095,-0.5411195,0.99882096,-0.011960225,0.047048777,0.0,0.0,0.96917504,0.24637307,0.0,-0.04854518,-0.24608259,0.96803236,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.02739662,0.27799433,-0.5325598
1668497303287,0.9278029,0.006303891,-0.37301728,0.0,0.058225855,0.98515785,0.16147374,0.0,0.3684988,-0.17153496,0.91366535,0.0,0.033448946,0.26973912,-0.548338,1.0,0.9931769,-0.02845601,0.11309243,0.0,0.0,0.96977234,0.24401149,0.0,-0.1166175,-0.24234657,0.96315545,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048592426,0.27816594,-0.54119307,0.9991671,-0.010016807,0.03955739,0.0,0.0,0.9694031,0.24547434,0.0,-0.040805925,-0.24526988,0.9685957,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027358817,0.2780389,-0.53263104
1668497303304,0.9279191,0.006630303,-0.37272272,0.0,0.05784834,0.98516876,0.16154256,0.0,0.36826587,-0.17145975,0.9137735,0.0,0.033438507,0.2697708,-0.5483531,1.0,0.9926199,-0.02942479,0.11764348,0.0,0.0,0.9701155,0.24264365,0.0,-0.121267505,-0.2408529,0.9629559,0.0,0.03431431,0.031011613,0.031988837,1.0,0.04857693,0.27820227,-0.5412029,0.9989623,-0.011121264,0.04416644,0.0,0.0,0.9697296,0.24418132,0.0,-0.045545105,-0.24392793,0.9687233,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027340649,0.27806774,-0.5326476
1668497303320,0.9280268,0.006418349,-0.37245807,0.0,0.057898164,0.98521554,0.16123818,0.0,0.3679864,-0.17119804,0.91393495,0.0,0.033443317,0.26977995,-0.5483869,1.0,0.99242735,-0.02994052,0.1191281,0.0,0.0,0.96983814,0.24374987,0.0,-0.12283297,-0.24190404,0.9624939,0.0,0.03431431,0.031011613,0.031988837,1.0,0.04858051,0.27821225,-0.5412351,0.9988907,-0.011552043,0.045650374,0.0,0.0,0.9694417,0.2453218,0.0,-0.047089346,-0.24504966,0.9683663,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027341755,0.2780826,-0.5326859
1668497303337,0.9278631,0.00660414,-0.3728629,0.0,0.0577664,0.98522955,0.16120107,0.0,0.36842018,-0.17111148,0.9137765,0.0,0.03342982,0.26976883,-0.548389,1.0,0.9930239,-0.02852605,0.11441067,0.0,0.0,0.9702952,0.24192402,0.0,-0.11791326,-0.24023633,0.9635263,0.0,0.03431431,0.031011613,0.031988837,1.0,0.0485684,0.27820435,-0.541244,0.99911183,-0.010256289,0.040870503,0.0,0.0,0.96992624,0.2433991,0.0,-0.042137742,-0.24318291,0.9690648,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027333403,0.27807042,-0.53268546
1668497303354,0.9276754,0.006699798,-0.3733277,0.0,0.057661697,0.98527426,0.16096446,0.0,0.36890864,-0.1708495,0.9136285,0.0,0.03342869,0.26981047,-0.54850847,1.0,0.9924119,-0.029969389,0.11924944,0.0,0.0,0.96984124,0.2437374,0.0,-0.12295769,-0.2418879,0.962482,0.0,0.03431431,0.031011613,0.031988837,1.0,0.048569255,0.27825034,-0.5413727,0.9988826,-0.011593529,0.045816496,0.0,0.0,0.96944445,0.24531083,0.0,-0.047260568,-0.24503672,0.9683612,0.0,-0.034371253,0.031074695,0.03204899,1.0,0.027338557,0.27811423,-0.5328036
